./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  256
                clockFreq:     1150

Running 10 iterations of each benchmark

                                         TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                    BestWalkerSubmission(api=ocl)         12.065         10.695         32.49%         10.333         23.787
                 EmptyKernel(api=ocl wgc=1 wgs=1)          9.951          9.209         29.66%          8.117         18.651
                EmptyKernel(api=ocl wgc=1 wgs=16)          9.439          8.410         30.48%          8.102         18.011
                EmptyKernel(api=ocl wgc=1 wgs=32)          9.993          9.001         31.36%          8.479         19.331
               EmptyKernel(api=ocl wgc=1 wgs=256)          9.990          9.289         25.67%          8.417         17.582
               EmptyKernel(api=ocl wgc=100 wgs=1)          9.729          8.610         32.23%          8.268         19.057
              EmptyKernel(api=ocl wgc=100 wgs=16)         11.053          9.489         35.32%          8.389         19.029
              EmptyKernel(api=ocl wgc=100 wgs=32)         10.397          9.457         26.40%          8.421         18.361
             EmptyKernel(api=ocl wgc=100 wgs=256)         10.864          8.969         54.45%          8.312         28.557
              EmptyKernel(api=ocl wgc=1000 wgs=1)         10.003          8.685         31.11%          8.415         19.161
             EmptyKernel(api=ocl wgc=1000 wgs=16)         10.268          9.575         25.90%          8.537         18.182
             EmptyKernel(api=ocl wgc=1000 wgs=32)          9.822          8.980         26.35%          8.204         17.325
            EmptyKernel(api=ocl wgc=1000 wgs=256)         10.971          9.893         27.41%          9.353         19.821
             EmptyKernel(api=ocl wgc=10000 wgs=1)         14.522         13.693         18.07%         12.846         22.261
            EmptyKernel(api=ocl wgc=10000 wgs=16)         14.081         13.408         19.65%         12.464         22.280
            EmptyKernel(api=ocl wgc=10000 wgs=32)         13.907         12.814         21.06%         12.384         22.454
           EmptyKernel(api=ocl wgc=10000 wgs=256)         23.738         22.724         13.05%         21.809         32.824
     NewResourcesSubmissionDevice(api=ocl size=1)       1032.468       1027.506         14.13%        819.285       1269.885
  NewResourcesSubmissionDevice(api=ocl size=64KB)       1068.119       1067.812         11.43%        860.155       1292.815
 NewResourcesSubmissionDevice(api=ocl size=512KB)       1089.911       1073.735         10.89%        856.498       1313.332
   NewResourcesSubmissionDevice(api=ocl size=1MB)       1120.561       1111.447         10.13%        960.591       1319.439
  NewResourcesSubmissionDevice(api=ocl size=16MB)       1428.513       1447.492          8.13%       1209.850       1615.911
  NewResourcesSubmissionDevice(api=ocl size=64MB)       2234.460       2236.123          7.25%       1928.377       2442.508
 NewResourcesSubmissionDevice(api=ocl size=256MB)       5663.342       5717.860          4.13%       5202.492       6037.354
   NewResourcesSubmissionDevice(api=ocl size=1GB)      19185.695      19488.843          3.34%      18107.326      19774.458
       NewResourcesSubmissionHost(api=ocl size=1)        376.464        366.025         19.05%        253.539        507.553
    NewResourcesSubmissionHost(api=ocl size=64KB)        341.692        363.776         18.45%        249.107        415.611
   NewResourcesSubmissionHost(api=ocl size=512KB)        347.608        313.459         24.42%        261.557        510.543
     NewResourcesSubmissionHost(api=ocl size=1MB)        348.023        336.510         24.12%        237.473        531.740
    NewResourcesSubmissionHost(api=ocl size=16MB)        477.382        489.575          7.28%        391.367        511.347
    NewResourcesSubmissionHost(api=ocl size=64MB)       9132.165       9317.254          5.77%       7698.288       9487.938
   NewResourcesSubmissionHost(api=ocl size=256MB)      24286.500      20553.840         24.11%      20498.061      35397.404
     NewResourcesSubmissionHost(api=ocl size=1GB)      78118.155      77043.488         18.60%      66749.179     117572.888
                     RoundTripSubmission(api=ocl)         14.752         13.890         18.83%         13.138         22.881
                 WalkerCompletionLatency(api=ocl)          2.248          2.300          6.48%          1.958          2.447
                  WalkerSubmissionEvents(api=ocl)         17.424         16.760         17.73%         15.200         26.320
