                                          TestCase      Mean [ns]    Median [ns]    StdDev [ns]       Min [ns]       Max [ns]
                     BestWalkerSubmission(api=ocl)         562974         516618          87278         510693         838974
                  EmptyKernel(api=ocl,gws=1,lws=1)         465886         460839           9453         449033         495781
                EmptyKernel(api=ocl,gws=16,lws=16)         491131         471866          65098         448293         696989
                EmptyKernel(api=ocl,gws=32,lws=32)         469346         471197           6040         448026         488447
              EmptyKernel(api=ocl,gws=256,lws=256)         466826         462999           5511         453974         484254
                EmptyKernel(api=ocl,gws=100,lws=1)         478625         470135          14678         460932         525043
              EmptyKernel(api=ocl,gws=1600,lws=16)         468661         464035           7393         455028         492042
              EmptyKernel(api=ocl,gws=3200,lws=32)         473127         468724           7673         456977         497393
            EmptyKernel(api=ocl,gws=25600,lws=256)         460258         460533           3580         451385         471581
               EmptyKernel(api=ocl,gws=1000,lws=1)         474971         471522           8847         457018         502949
             EmptyKernel(api=ocl,gws=16000,lws=16)         486403         472411          39016         456888         609784
             EmptyKernel(api=ocl,gws=32000,lws=32)         464977         461419           6711         452205         486201
           EmptyKernel(api=ocl,gws=256000,lws=256)         467718         463715           5714         453651         485789
              EmptyKernel(api=ocl,gws=10000,lws=1)         479435         472046          21738         453426         548177
            EmptyKernel(api=ocl,gws=160000,lws=16)         466078         460134           7927         449125         491148
            EmptyKernel(api=ocl,gws=320000,lws=32)         475532         473671           7039         456031         497792
          EmptyKernel(api=ocl,gws=2560000,lws=256)         485151         468897          35667         450580         597941
            NewResourcesSubmission(api=ocl,size=1)        1271198        1280571          51708        1127951        1434715
        NewResourcesSubmission(api=ocl,size=65536)        1226382        1191910          73083        1053339        1457492
       NewResourcesSubmission(api=ocl,size=524288)        1819602        1581898         259264        1177380        2639469
      NewResourcesSubmission(api=ocl,size=1048576)        1556763        1626776         126668        1100635        1957325
     NewResourcesSubmission(api=ocl,size=16777216)        1973639        1989326          40578        1867357        2101961
     NewResourcesSubmission(api=ocl,size=67108864)        3235245        3260120          27521        3084355        3322277
    NewResourcesSubmission(api=ocl,size=268435456)        8244763        8270129          21399        8123988        8312434
   NewResourcesSubmission(api=ocl,size=1073741824)       28159885       28170659          38520       28020958       28281699
                      RoundTripSubmission(api=ocl)         517887         504808          26333         484208         601161
