./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                         TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                    BestWalkerSubmission(api=ocl)         76.137         67.025         38.47%         48.039        140.809
                 EmptyKernel(api=ocl wgc=1 wgs=1)         67.237         67.203          0.28%         66.983         67.574
                EmptyKernel(api=ocl wgc=1 wgs=16)         68.384         67.459          4.92%         66.499         78.418
                EmptyKernel(api=ocl wgc=1 wgs=32)         68.176         67.424          3.90%         66.692         76.050
               EmptyKernel(api=ocl wgc=1 wgs=256)         68.260         67.396          4.17%         66.874         76.758
               EmptyKernel(api=ocl wgc=100 wgs=1)         65.264         67.524          9.58%         46.664         68.079
              EmptyKernel(api=ocl wgc=100 wgs=16)         67.709         67.590          0.87%         66.747         68.684
              EmptyKernel(api=ocl wgc=100 wgs=32)         68.034         68.008          0.44%         67.646         68.526
             EmptyKernel(api=ocl wgc=100 wgs=256)         68.020         67.966          0.60%         67.381         68.986
              EmptyKernel(api=ocl wgc=1000 wgs=1)         67.966         67.959          0.38%         67.607         68.420
             EmptyKernel(api=ocl wgc=1000 wgs=16)         68.099         68.217          0.51%         67.487         68.524
             EmptyKernel(api=ocl wgc=1000 wgs=32)         67.989         67.928          0.58%         67.453         68.606
            EmptyKernel(api=ocl wgc=1000 wgs=256)         68.511         68.457          0.77%         67.744         69.829
             EmptyKernel(api=ocl wgc=10000 wgs=1)         69.668         69.743          0.58%         68.912         70.145
            EmptyKernel(api=ocl wgc=10000 wgs=16)         77.363         69.695         26.55%         69.278        138.588
            EmptyKernel(api=ocl wgc=10000 wgs=32)         70.630         69.651          4.14%         69.119         79.316
           EmptyKernel(api=ocl wgc=10000 wgs=256)         74.083         73.840          0.90%         73.255         75.458
      EnqueueNdrTime(api=ocl wgc=1 wgs=0 event=0)          2.085          2.018         11.56%          1.933          2.792
      EnqueueNdrTime(api=ocl wgc=1 wgs=0 event=1)          2.324          2.243          9.90%          2.119          2.966
      EnqueueNdrTime(api=ocl wgc=1 wgs=1 event=0)          2.111          1.885         32.38%          1.795          4.149
      EnqueueNdrTime(api=ocl wgc=1 wgs=1 event=1)          2.172          2.082          9.30%          2.041          2.751
     EnqueueNdrTime(api=ocl wgc=1 wgs=32 event=0)          3.185          1.957        109.42%          1.861         13.620
     EnqueueNdrTime(api=ocl wgc=1 wgs=32 event=1)          2.264          2.196         15.64%          1.941          3.285
    EnqueueNdrTime(api=ocl wgc=1 wgs=256 event=0)          3.145          1.944        110.55%          1.860         13.566
    EnqueueNdrTime(api=ocl wgc=1 wgs=256 event=1)          2.240          2.184         10.38%          2.062          2.913
    EnqueueNdrTime(api=ocl wgc=100 wgs=0 event=0)          3.324          1.989        115.93%          1.922         14.875
    EnqueueNdrTime(api=ocl wgc=100 wgs=0 event=1)          2.300          2.231         10.19%          2.056          2.963
    EnqueueNdrTime(api=ocl wgc=100 wgs=1 event=0)          3.157          1.877        119.33%          1.773         14.454
    EnqueueNdrTime(api=ocl wgc=100 wgs=1 event=1)          2.268          2.196         10.54%          2.029          2.905
   EnqueueNdrTime(api=ocl wgc=100 wgs=32 event=0)          3.204          2.016        109.32%          1.884         13.702
   EnqueueNdrTime(api=ocl wgc=100 wgs=32 event=1)          2.272          2.184         11.90%          2.051          3.018
  EnqueueNdrTime(api=ocl wgc=100 wgs=256 event=0)          3.042          1.904        110.18%          1.831         13.092
  EnqueueNdrTime(api=ocl wgc=100 wgs=256 event=1)          2.224          2.048         22.09%          1.861          3.624
   EnqueueNdrTime(api=ocl wgc=1000 wgs=0 event=0)          3.188          1.958        115.49%          1.813         14.231
   EnqueueNdrTime(api=ocl wgc=1000 wgs=0 event=1)          2.252          2.144         11.45%          1.937          2.726
   EnqueueNdrTime(api=ocl wgc=1000 wgs=1 event=0)          3.116          1.987        109.18%          1.839         13.317
   EnqueueNdrTime(api=ocl wgc=1000 wgs=1 event=1)          2.214          2.149         11.95%          2.006          2.969
  EnqueueNdrTime(api=ocl wgc=1000 wgs=32 event=0)          3.076          1.973        107.13%          1.815         12.955
  EnqueueNdrTime(api=ocl wgc=1000 wgs=32 event=1)          2.288          2.144         16.61%          2.020          3.341
