./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                         TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                    BestWalkerSubmission(api=ocl)          9.979          9.052         29.37%          8.470         18.701
                 EmptyKernel(api=ocl wgc=1 wgs=1)          9.692          9.068         24.82%          8.365         16.855
                EmptyKernel(api=ocl wgc=1 wgs=16)          9.358          8.462         29.65%          8.213         17.665
                EmptyKernel(api=ocl wgc=1 wgs=32)          9.804          9.038         28.75%          8.302         18.190
               EmptyKernel(api=ocl wgc=1 wgs=256)          9.812          9.041         26.72%          8.215         17.613
               EmptyKernel(api=ocl wgc=100 wgs=1)          9.577          8.453         27.96%          8.287         17.456
              EmptyKernel(api=ocl wgc=100 wgs=16)          9.946          9.036         26.46%          8.532         17.649
              EmptyKernel(api=ocl wgc=100 wgs=32)         10.141          9.323         24.26%          8.816         17.449
             EmptyKernel(api=ocl wgc=100 wgs=256)          9.622          8.534         27.51%          8.307         17.450
              EmptyKernel(api=ocl wgc=1000 wgs=1)          9.923          8.754         29.10%          8.379         18.337
             EmptyKernel(api=ocl wgc=1000 wgs=16)         10.093          9.461         22.46%          8.595         16.830
             EmptyKernel(api=ocl wgc=1000 wgs=32)          9.733          8.968         25.47%          8.344         17.013
            EmptyKernel(api=ocl wgc=1000 wgs=256)          9.522          8.994         12.34%          8.716         12.633
             EmptyKernel(api=ocl wgc=10000 wgs=1)         11.379         11.304          4.81%         10.271         12.210
            EmptyKernel(api=ocl wgc=10000 wgs=16)         10.974         10.875          6.81%         10.058         12.746
            EmptyKernel(api=ocl wgc=10000 wgs=32)         10.549         10.236         10.09%          9.989         13.720
           EmptyKernel(api=ocl wgc=10000 wgs=256)         15.627         15.518          5.11%         14.559         17.673
