./pci_benchmark  --no-intel-extensions
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                                                                  TestCase    Mean [GB/s]  Median [GB/s]         StdDev     Min [GB/s]     Max [GB/s]
                                                               CopyBuffer(api=ocl size=128MB compressed=0)        101.355        101.407          0.70%         99.924        102.432
                                                               CopyBuffer(api=ocl size=512MB compressed=0)        104.824        104.787          0.19%        104.590        105.138
                                                FillBuffer(api=ocl size=128MB patternSize=16 compressed=0)        224.788        228.671         15.75%        128.015        275.978
                                               FillBuffer(api=ocl size=128MB patternSize=128 compressed=0)        231.219        230.362          4.45%        209.745        248.858
                                                FillBuffer(api=ocl size=512MB patternSize=16 compressed=0)        321.390        322.254          1.39%        309.192        327.563
                                               FillBuffer(api=ocl size=512MB patternSize=128 compressed=0)        322.361        323.177          2.24%        310.528        337.690
                                                  MapBuffer(api=ocl size=128MB compressed=0 mapFlags=read)         22.293         22.291          0.24%         22.211         22.391
                                                 MapBuffer(api=ocl size=128MB compressed=0 mapFlags=write)         22.449         22.477          0.39%         22.209         22.532
                                       MapBuffer(api=ocl size=128MB compressed=0 mapFlags=writeInvalidate)         22.401         22.439          0.69%         21.981         22.571
                                                  MapBuffer(api=ocl size=512MB compressed=0 mapFlags=read)         22.555         22.557          0.15%         22.503         22.598
                                                 MapBuffer(api=ocl size=512MB compressed=0 mapFlags=write)         22.623         22.632          0.13%         22.551         22.663
                                       MapBuffer(api=ocl size=512MB compressed=0 mapFlags=writeInvalidate)         22.600         22.622          0.37%         22.366         22.667
                                                               ReadBuffer(api=ocl size=128MB compressed=0)         18.696         18.717          0.42%         18.488         18.774
                                                               ReadBuffer(api=ocl size=512MB compressed=0)         18.994         19.039          0.50%         18.784         19.071
                                                UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=read)     159170.079     162098.942          6.10%     134756.755     168827.331
                                               UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=write)         18.637         18.639          0.19%         18.582         18.705
                                     UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=writeInvalidate)         18.649         18.654          0.25%         18.562         18.711
                                                UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=read)     636570.302     642213.059          6.80%     523265.996     688296.041
                                               UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=write)         18.645         18.642          0.31%         18.527         18.734
                                     UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=writeInvalidate)         18.652         18.648          0.14%         18.617         18.699
                                                              WriteBuffer(api=ocl size=128MB compressed=0)         16.564         16.575          0.41%         16.387         16.656
                                                              WriteBuffer(api=ocl size=512MB compressed=0)         16.845         16.882          0.57%         16.571         16.908
      WriteBufferRect(api=ocl size=16KB compressed=0 origin=0:0:0 region=128:128:1 rPitch=128 sPitch=16KB)          0.057          0.048         33.56%          0.034          0.092
     WriteBufferRect(api=ocl size=2MB compressed=0 origin=0:0:0 region=128:128:128 rPitch=128 sPitch=16KB)          2.256          2.271          2.34%          2.166          2.315
WriteBufferRect(api=ocl size=128MB compressed=0 origin=0:0:0 region=128:1024:1024 rPitch=128 sPitch=128KB)          2.825          2.824          0.14%          2.819          2.832
   WriteBufferRect(api=ocl size=16MB compressed=0 origin=0:0:0 region=1024:16:1024 rPitch=1KB sPitch=16KB)         13.190         13.188          0.73%         12.994         13.332
    WriteBufferRect(api=ocl size=16MB compressed=0 origin=0:0:0 region=1024:1024:16 rPitch=1KB sPitch=1MB)         13.090         13.251          2.79%         12.060         13.359
