./pci_benchmark  --no-intel-extensions
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableBlitterOperationsSupport = 0
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                                                                  TestCase    Mean [GB/s]  Median [GB/s]         StdDev     Min [GB/s]     Max [GB/s]
                                                               CopyBuffer(api=ocl size=128MB compressed=0)        250.056        250.961          1.35%        243.613        254.317
                                                               CopyBuffer(api=ocl size=512MB compressed=0)        285.344        285.246          0.52%        282.246        288.419
                                                FillBuffer(api=ocl size=128MB patternSize=16 compressed=0)        188.091        198.512         15.00%        105.313        203.431
                                               FillBuffer(api=ocl size=128MB patternSize=128 compressed=0)        197.847        199.740          3.22%        181.963        203.756
                                                FillBuffer(api=ocl size=512MB patternSize=16 compressed=0)        303.022        304.630          1.61%        292.777        307.585
                                               FillBuffer(api=ocl size=512MB patternSize=128 compressed=0)        303.849        305.527          1.51%        294.812        308.389
                                                  MapBuffer(api=ocl size=128MB compressed=0 mapFlags=read)         22.324         22.315          0.18%         22.275         22.401
                                                 MapBuffer(api=ocl size=128MB compressed=0 mapFlags=write)         22.340         22.338          0.26%         22.272         22.452
                                       MapBuffer(api=ocl size=128MB compressed=0 mapFlags=writeInvalidate)         22.262         22.302          0.46%         22.022         22.351
                                                  MapBuffer(api=ocl size=512MB compressed=0 mapFlags=read)         22.589         22.587          0.17%         22.531         22.681
                                                 MapBuffer(api=ocl size=512MB compressed=0 mapFlags=write)         22.586         22.591          0.16%         22.518         22.633
                                       MapBuffer(api=ocl size=512MB compressed=0 mapFlags=writeInvalidate)         22.581         22.584          0.13%         22.510         22.626
                                                               ReadBuffer(api=ocl size=128MB compressed=0)          0.582          0.590          2.49%          0.560          0.596
                                                               ReadBuffer(api=ocl size=512MB compressed=0)          0.660          0.665          1.40%          0.634          0.666
                                                UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=read)     187412.033     190786.550          6.28%     159214.387     207126.123
                                               UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=write)         21.001         21.019          0.35%         20.827         21.084
                                     UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=writeInvalidate)         20.995         21.016          0.35%         20.792         21.082
                                                UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=read)     690200.638     705947.404          7.03%     614972.408     783753.156
                                               UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=write)         21.214         21.222          0.09%         21.180         21.239
                                     UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=writeInvalidate)         21.208         21.200          0.16%         21.158         21.264
                                                              WriteBuffer(api=ocl size=128MB compressed=0)          0.699          0.701          0.48%          0.692          0.702
                                                              WriteBuffer(api=ocl size=512MB compressed=0)          0.698          0.698          0.51%          0.694          0.703
      WriteBufferRect(api=ocl size=16KB compressed=0 origin=0:0:0 region=128:128:1 rPitch=128 sPitch=16KB)          0.022          0.022          3.98%          0.020          0.023
     WriteBufferRect(api=ocl size=2MB compressed=0 origin=0:0:0 region=128:128:128 rPitch=128 sPitch=16KB)          0.041          0.041          0.54%          0.041          0.042
WriteBufferRect(api=ocl size=128MB compressed=0 origin=0:0:0 region=128:1024:1024 rPitch=128 sPitch=128KB)          0.043          0.044          0.34%          0.043          0.044
   WriteBufferRect(api=ocl size=16MB compressed=0 origin=0:0:0 region=1024:16:1024 rPitch=1KB sPitch=16KB)          0.043          0.043          0.42%          0.043          0.044
    WriteBufferRect(api=ocl size=16MB compressed=0 origin=0:0:0 region=1024:1024:16 rPitch=1KB sPitch=1MB)          0.043          0.043          0.29%          0.043          0.043
