./ulls_benchmark_l0
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
LevelZero driver version: 0x1000000
        Device: Intel(R) Gen12HP
                vendorId:     0x8086
                deviceId:     0x20f
                clockFreq:    1600
                config:       1x32x16
                euCount:      512
                threadsPerEu: 8

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                                      BestSubmission(api=l0)         58.453         56.203         18.82%         46.812         74.546
                                BestWalkerSubmission(api=l0)         73.654         51.736         68.74%         49.155        223.319
                       BestWalkerSubmissionImmediate(api=l0)         65.684         53.146         31.28%         51.803        120.357
                                   CompletionLatency(api=l0)          2.309          2.317          5.01%          2.125          2.541
                             EmptyKernel(api=l0 wgc=1 wgs=1)         64.628         58.213         31.55%         49.454        118.925
                            EmptyKernel(api=l0 wgc=1 wgs=16)         67.176         66.359         25.70%         49.040        112.309
                            EmptyKernel(api=l0 wgc=1 wgs=32)         52.269         51.005          8.13%         49.644         64.870
                           EmptyKernel(api=l0 wgc=1 wgs=256)         58.836         51.624         19.13%         49.139         84.158
                           EmptyKernel(api=l0 wgc=100 wgs=1)         52.980         50.875         12.38%         50.189         72.618
                          EmptyKernel(api=l0 wgc=100 wgs=16)         54.318         50.948         13.12%         50.134         70.784
                          EmptyKernel(api=l0 wgc=100 wgs=32)         51.961         51.139          5.18%         49.602         59.666
                         EmptyKernel(api=l0 wgc=100 wgs=256)         86.320         71.660         56.53%         50.383        219.122
                          EmptyKernel(api=l0 wgc=1000 wgs=1)         68.960         60.977         42.36%         49.323        151.623
                         EmptyKernel(api=l0 wgc=1000 wgs=16)         61.511         61.058         17.33%         50.143         73.643
                         EmptyKernel(api=l0 wgc=1000 wgs=32)         81.800         66.503         61.73%         50.035        221.521
                        EmptyKernel(api=l0 wgc=1000 wgs=256)         56.965         51.132         16.62%         49.955         73.357
                         EmptyKernel(api=l0 wgc=10000 wgs=1)         55.339         52.151         12.37%         50.692         69.183
                        EmptyKernel(api=l0 wgc=10000 wgs=16)         80.325         52.548         63.90%         51.536        221.507
                        EmptyKernel(api=l0 wgc=10000 wgs=32)         53.607         51.901          9.33%         51.155         68.526
                       EmptyKernel(api=l0 wgc=10000 wgs=256)         60.750         56.575         14.70%         55.529         78.895
                 NewResourcesSubmissionDevice(api=l0 size=1)        453.353        434.156         10.60%        381.927        539.296
              NewResourcesSubmissionDevice(api=l0 size=64KB)        374.087        385.884         24.74%        215.845        543.922
             NewResourcesSubmissionDevice(api=l0 size=512KB)        405.612        431.736         33.09%        162.076        566.449
               NewResourcesSubmissionDevice(api=l0 size=1MB)        408.919        390.820         18.98%        285.771        525.214
              NewResourcesSubmissionDevice(api=l0 size=16MB)        617.223        615.192          7.36%        551.858        712.083
              NewResourcesSubmissionDevice(api=l0 size=64MB)       1647.992       1612.959          9.77%       1476.733       2044.930
             NewResourcesSubmissionDevice(api=l0 size=256MB)       4728.336       4663.430          4.97%       4385.391       5196.947
               NewResourcesSubmissionDevice(api=l0 size=1GB)      16719.934      16766.209          0.76%      16479.387      16869.591
                   NewResourcesSubmissionHost(api=l0 size=1)        210.668        219.385         25.66%        104.180        297.343
                NewResourcesSubmissionHost(api=l0 size=64KB)        188.001        207.295         30.92%         98.886        263.237
               NewResourcesSubmissionHost(api=l0 size=512KB)        197.666        218.272         28.85%        105.996        268.854
                 NewResourcesSubmissionHost(api=l0 size=1MB)        187.435        189.140         33.52%        102.841        298.566
                NewResourcesSubmissionHost(api=l0 size=16MB)        250.703        251.134         16.80%        172.072        310.244
                NewResourcesSubmissionHost(api=l0 size=64MB)       7903.552       7912.526          0.51%       7837.532       7990.161
               NewResourcesSubmissionHost(api=l0 size=256MB)      30762.372      30751.306          0.27%      30617.082      30949.769
                 NewResourcesSubmissionHost(api=l0 size=1GB)     122708.024     122624.823          0.21%     122508.618     123444.829
                                 RoundTripSubmission(api=l0)         80.645         52.853         65.83%         50.967        226.958
                             WalkerCompletionLatency(api=l0)          1.876          1.858          5.52%          1.688          2.087
                                        WriteLatency(api=l0)          4.697          4.814          9.48%          3.376          5.001
