./ulls_benchmark_l0
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
Non-default value of debug variable: UseVmBind = 1
LevelZero driver version: 0x1000000
        Device: Intel(R) Gen12HP
                vendorId:     0x8086
                deviceId:     0x20f
                clockFreq:    1600
                config:       1x32x16
                euCount:      512
                threadsPerEu: 8

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                                      BestSubmission(api=l0)         12.132         11.588         15.24%         10.630         17.469
                                BestWalkerSubmission(api=l0)         14.337         14.110          8.17%         13.348         17.560
                       BestWalkerSubmissionImmediate(api=l0)         15.672         15.149         11.58%         13.779         20.770
                                   CompletionLatency(api=l0)          1.534          1.481          7.00%          1.389          1.717
                             EmptyKernel(api=l0 wgc=1 wgs=1)         13.017         12.694          9.96%         11.780         16.493
                            EmptyKernel(api=l0 wgc=1 wgs=16)         13.118         12.797          7.80%         11.856         15.250
                            EmptyKernel(api=l0 wgc=1 wgs=32)         12.651         12.136          9.59%         11.600         15.685
                           EmptyKernel(api=l0 wgc=1 wgs=256)         12.889         12.636          9.50%         11.734         16.275
                           EmptyKernel(api=l0 wgc=100 wgs=1)         13.676         13.348          6.38%         12.722         15.670
                          EmptyKernel(api=l0 wgc=100 wgs=16)         13.205         12.853          7.69%         12.269         15.687
                          EmptyKernel(api=l0 wgc=100 wgs=32)         13.264         12.800          9.40%         12.266         16.643
                         EmptyKernel(api=l0 wgc=100 wgs=256)         13.630         13.391          8.68%         12.582         16.983
                          EmptyKernel(api=l0 wgc=1000 wgs=1)         13.468         13.189          8.80%         12.212         16.277
                         EmptyKernel(api=l0 wgc=1000 wgs=16)         13.123         12.648          9.13%         12.427         16.584
                         EmptyKernel(api=l0 wgc=1000 wgs=32)         13.537         13.361          8.59%         12.485         16.622
                        EmptyKernel(api=l0 wgc=1000 wgs=256)         13.443         13.327          7.51%         12.331         15.971
                         EmptyKernel(api=l0 wgc=10000 wgs=1)         14.687         14.113          8.01%         13.664         17.826
                        EmptyKernel(api=l0 wgc=10000 wgs=16)         14.795         14.729          8.08%         13.623         18.042
                        EmptyKernel(api=l0 wgc=10000 wgs=32)         15.802         14.758         19.54%         13.505         24.557
                       EmptyKernel(api=l0 wgc=10000 wgs=256)         18.857         18.549          5.88%         17.970         21.955
