./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  1024
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         90.660         71.696         42.97%         69.872        168.875
                            EmptyKernel(api=ocl wgc=1 wgs=1)        228.550        226.614          3.00%        219.706        245.072
                           EmptyKernel(api=ocl wgc=1 wgs=16)        224.640        224.318          0.84%        222.249        228.027
                           EmptyKernel(api=ocl wgc=1 wgs=32)        225.065        224.850          1.09%        220.572        230.513
                          EmptyKernel(api=ocl wgc=1 wgs=256)        226.383        223.800          4.04%        218.261        252.839
                          EmptyKernel(api=ocl wgc=100 wgs=1)        224.987        224.988          0.70%        222.597        228.020
                         EmptyKernel(api=ocl wgc=100 wgs=16)        224.358        224.867          0.62%        221.053        226.057
                         EmptyKernel(api=ocl wgc=100 wgs=32)        226.435        224.219          2.35%        221.911        237.182
                        EmptyKernel(api=ocl wgc=100 wgs=256)        225.195        224.547          0.60%        223.655        227.629
                         EmptyKernel(api=ocl wgc=1000 wgs=1)        218.763        224.558          8.16%        165.473        227.262
                        EmptyKernel(api=ocl wgc=1000 wgs=16)        224.832        224.354          0.74%        222.498        227.513
                        EmptyKernel(api=ocl wgc=1000 wgs=32)        226.047        225.012          1.41%        223.281        235.241
                       EmptyKernel(api=ocl wgc=1000 wgs=256)        226.316        225.642          1.44%        222.848        232.973
                        EmptyKernel(api=ocl wgc=10000 wgs=1)        226.165        224.076          1.94%        222.215        236.180
                       EmptyKernel(api=ocl wgc=10000 wgs=16)        226.433        225.380          1.44%        222.010        233.962
                       EmptyKernel(api=ocl wgc=10000 wgs=32)        220.386        224.781          8.25%        167.359        236.559
                      EmptyKernel(api=ocl wgc=10000 wgs=256)        225.368        224.349          1.71%        222.068        236.137
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          2.218          2.152          8.77%          2.012          2.581
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          2.345          2.269          9.39%          2.099          2.855
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          3.295          2.102        108.82%          1.934         14.049
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)         12.020         10.308         36.50%          9.925         24.916
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          2.750          2.059         74.89%          1.922          8.921
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          2.225          2.122         11.68%          2.076          2.985
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          3.285          2.043        107.55%          1.934         13.870
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         10.504         10.170          8.93%          9.889         13.198
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          2.232          2.054         23.01%          1.981          3.763
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=1)          2.400          2.296         11.61%          2.178          2.972
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=0)          3.274          2.048        109.26%          1.951         13.999
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=1)         10.447         10.303          5.36%          9.838         11.437
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=0)          2.643          1.940         70.06%          1.838          8.142
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=1)          2.253          2.116         18.31%          2.052          3.483
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=0)          3.106          2.017         99.14%          1.912         12.330
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=1)         10.475          9.992         10.96%          9.745         13.671
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=0)          3.038          1.958        103.26%          1.862         12.443
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=1)          2.346          2.183         16.74%          2.091          3.359
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=0)          2.592          1.962         73.11%          1.861          8.273
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=1)         10.207          9.888          8.44%          9.558         12.678
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=0)          3.070          1.969        102.00%          1.914         12.454
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=1)          2.155          2.062         12.26%          1.987          2.920
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=0)          2.046          1.934         20.76%          1.816          3.309
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=1)         10.406          9.837         11.82%          9.584         13.472
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=0)          2.976          1.978         98.61%          1.852         11.772
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=1)          2.283          2.086         17.40%          2.002          3.248
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=0)          2.501          1.925         64.75%          1.805          7.339
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=1)         10.303          9.945         11.24%          9.588         13.650
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=0)          3.126          2.092         95.38%          1.903         12.057
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=1)          2.316          2.148         13.52%          2.102          3.032
