./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                            EmptyKernel(api=ocl wgc=1 wgs=1)          9.757          8.967         27.15%          8.268         17.579
                           EmptyKernel(api=ocl wgc=1 wgs=16)          9.406          8.355         32.59%          8.163         18.580
                           EmptyKernel(api=ocl wgc=1 wgs=32)          9.962          9.127         28.78%          8.291         18.333
                          EmptyKernel(api=ocl wgc=1 wgs=256)          9.203          9.197          6.89%          8.199         10.711
                          EmptyKernel(api=ocl wgc=100 wgs=1)          8.829          8.548         10.98%          7.897         11.524
                         EmptyKernel(api=ocl wgc=100 wgs=16)         10.031          9.193         28.70%          8.351         18.460
                         EmptyKernel(api=ocl wgc=100 wgs=32)         10.130          9.308         25.53%          8.477         17.834
                        EmptyKernel(api=ocl wgc=100 wgs=256)         10.553          8.598         51.05%          8.278         26.663
                         EmptyKernel(api=ocl wgc=1000 wgs=1)          9.903          8.989         27.32%          8.319         17.799
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         10.095          9.266         24.95%          8.711         17.620
                        EmptyKernel(api=ocl wgc=1000 wgs=32)          9.666          8.846         25.91%          8.298         17.101
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         10.094          8.876         29.29%          8.700         18.806
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         11.830         11.030         22.27%         10.242         19.621
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         11.491         10.938         22.25%          9.993         19.054
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         11.292         10.184         25.70%         10.013         19.876
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         15.385         15.296          5.37%         14.597         17.564
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          1.703          1.561         25.31%          1.484          2.986
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          2.645          1.779         97.25%          1.717         10.362
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          2.467          1.582        105.15%          1.533         10.247
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)          9.738          8.987         18.07%          8.774         14.673
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          2.496          1.618        106.51%          1.513         10.470
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          2.583          1.729         98.60%          1.679         10.223
