./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         75.348         68.106         34.96%         48.837        125.849
                            EmptyKernel(api=ocl wgc=1 wgs=1)         65.036         67.353         10.03%         45.697         68.421
                           EmptyKernel(api=ocl wgc=1 wgs=16)         60.919         67.024         16.44%         45.250         68.782
                           EmptyKernel(api=ocl wgc=1 wgs=32)         56.833         56.795         18.02%         44.911         68.183
                          EmptyKernel(api=ocl wgc=1 wgs=256)         70.218         67.484         23.64%         45.759        116.031
                          EmptyKernel(api=ocl wgc=100 wgs=1)         59.889         66.440         18.63%         45.366         75.875
                         EmptyKernel(api=ocl wgc=100 wgs=16)         68.967         67.834          4.74%         65.899         77.883
                         EmptyKernel(api=ocl wgc=100 wgs=32)         67.909         67.981          0.52%         67.012         68.255
                        EmptyKernel(api=ocl wgc=100 wgs=256)         68.115         68.060          0.43%         67.755         68.538
                         EmptyKernel(api=ocl wgc=1000 wgs=1)         69.091         68.051          4.26%         67.397         77.834
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         69.120         68.168          4.18%         67.785         77.765
                        EmptyKernel(api=ocl wgc=1000 wgs=32)         69.735         68.171          5.15%         67.908         80.104
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         66.017         68.326         10.24%         46.097         70.223
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         69.919         69.876          0.58%         69.452         70.653
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         69.891         69.898          0.37%         69.546         70.325
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         76.782         69.996         18.17%         69.491        110.325
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         74.077         74.118          0.39%         73.662         74.573
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          2.168          2.065         13.03%          1.928          2.939
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          2.370          2.262         10.92%          2.111          3.070
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          3.554          2.173        109.51%          1.900         15.157
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)         11.954         10.200         42.06%         10.049         27.022
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          2.191          1.977         30.12%          1.846          4.155
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          2.395          2.260         14.86%          2.057          3.341
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          3.402          2.011        121.89%          1.856         15.834
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         10.471         10.422          3.35%         10.065         11.255
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          3.518          2.117        123.15%          1.852         16.507
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=1)          2.344          2.281         12.17%          2.001          3.101
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=0)          3.538          2.093        121.85%          1.863         16.465
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=1)         10.478         10.369          4.15%         10.051         11.303
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=0)          3.177          1.917        120.09%          1.715         14.620
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=1)          2.163          2.089         11.92%          1.976          2.906
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=0)          3.179          1.838        122.05%          1.736         14.809
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=1)         10.378         10.197          3.73%          9.966         11.260
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=0)          3.205          1.938        118.02%          1.777         14.543
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=1)          2.179          2.098         13.71%          1.862          2.936
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=0)          3.185          1.990        111.69%          1.821         13.849
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=1)         10.198         10.068          5.31%          9.730         11.748
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=0)          3.163          1.978        112.18%          1.717         13.801
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=1)          2.152          2.045         12.72%          1.923          2.854
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=0)          3.214          2.101        110.64%          1.815         13.872
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=1)         10.272         10.155          3.65%          9.848         11.207
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=0)          3.181          1.993        116.63%          1.734         14.304
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=1)          2.182          2.147         11.81%          1.959          2.903
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=0)          3.182          1.974        114.69%          1.814         14.126
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=1)         10.328         10.093          4.87%          9.810         11.242
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=0)          3.139          1.958        113.02%          1.784         13.776
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=1)          2.361          2.232         15.64%          2.074          3.415
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=0)          3.133          1.924        114.00%          1.784         13.843
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=1)         10.273         10.124          4.22%          9.784         11.095
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=0)          3.071          1.918        115.68%          1.739         13.724
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=1)          2.229          2.159         13.91%          1.988          3.121
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=0)          3.173          1.928        116.56%          1.816         14.264
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=1)         10.133          9.977          4.83%          9.753         11.534
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          3.119          1.991        109.49%          1.720         13.353
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          2.226          2.130         13.12%          1.958          3.014
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          3.131          2.006        111.09%          1.776         13.557
