./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
Non-default value of debug variable: ForceUserptrAlignment = 2048
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                            EmptyKernel(api=ocl wgc=1 wgs=1)         70.724         67.483         23.31%         45.339        114.921
                           EmptyKernel(api=ocl wgc=1 wgs=16)         62.941         67.212         14.04%         45.093         68.174
                           EmptyKernel(api=ocl wgc=1 wgs=32)         67.503         67.584          0.60%         66.706         68.003
                          EmptyKernel(api=ocl wgc=1 wgs=256)         57.954         59.549         16.35%         45.739         68.239
                          EmptyKernel(api=ocl wgc=100 wgs=1)         69.687         67.821          5.43%         67.015         77.609
                         EmptyKernel(api=ocl wgc=100 wgs=16)         67.698         67.587          0.60%         67.298         68.614
                         EmptyKernel(api=ocl wgc=100 wgs=32)         68.067         68.031          0.65%         67.235         68.754
                        EmptyKernel(api=ocl wgc=100 wgs=256)         68.067         68.076          0.46%         67.383         68.574
                         EmptyKernel(api=ocl wgc=1000 wgs=1)         68.038         68.102          0.43%         67.392         68.360
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         68.337         67.948          1.41%         67.626         71.051
                        EmptyKernel(api=ocl wgc=1000 wgs=32)         66.952         68.001         11.65%         45.543         77.824
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         68.437         68.299          0.42%         68.065         69.040
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         70.874         69.755          4.53%         69.423         80.464
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         69.677         69.585          0.51%         69.238         70.395
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         70.974         69.737          5.18%         69.057         81.945
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         74.521         74.026          1.72%         73.783         78.227
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          2.093          2.040         12.29%          1.889          2.833
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          2.331          2.239          9.73%          2.122          2.945
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          3.532          1.961        126.71%          1.842         16.948
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)         12.215         10.198         48.93%          9.904         30.132
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          3.545          2.066        126.25%          1.873         16.964
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          2.341          2.263         10.66%          2.056          2.908
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          3.370          2.005        123.28%          1.845         15.828
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         10.220         10.102          4.88%          9.794         11.653
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          3.488          2.061        122.26%          1.916         16.278
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=1)          2.196          2.144         12.15%          1.919          2.891
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=0)          3.476          2.053        124.36%          1.892         16.439
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=1)         10.330         10.059          4.29%          9.864         11.032
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=0)          3.181          1.785        125.68%          1.681         15.165
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=1)          2.096          2.011         13.23%          1.870          2.872
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=0)          3.192          1.913        126.13%          1.641         15.263
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=1)         10.076          9.823          5.78%          9.554         11.605
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=0)          3.164          1.827        127.51%          1.671         15.264
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=1)          2.151          2.116          9.27%          1.923          2.624
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=0)          3.160          1.820        127.94%          1.693         15.283
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=1)         10.243         10.130          3.36%          9.841         10.871
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=0)          3.174          1.865        126.23%          1.724         15.191
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=1)          2.148          2.067         11.37%          1.917          2.806
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=0)          3.294          1.889        125.58%          1.730         15.696
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=1)         10.258         10.043          5.72%          9.621         11.755
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=0)          3.196          1.866        123.66%          1.748         15.049
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=1)          2.046          2.011          8.35%          1.850          2.461
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=0)          3.136          1.893        120.77%          1.682         14.491
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=1)          9.995          9.883          3.76%          9.557         10.744
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=0)          3.182          1.954        119.89%          1.736         14.623
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=1)          2.051          1.998          9.14%          1.850          2.557
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=0)          3.190          1.924        117.57%          1.719         14.436
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=1)          9.985          9.854          3.06%          9.680         10.602
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=0)          3.074          1.886        119.13%          1.711         14.060
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=1)          2.145          2.061         10.58%          1.973          2.774
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=0)          3.059          1.885        118.01%          1.716         13.888
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=1)          9.854          9.791          3.04%          9.569         10.596
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=0)          3.137          1.924        117.50%          1.709         14.193
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=0 event=1)          2.113          2.013         15.90%          1.726          2.935
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=0)          3.113          1.864        121.40%          1.750         14.449
  EnqueueNdrTime(api=ocl wgc=1000 wgs=1 profiling=1 event=1)          9.896          9.828          3.33%          9.518         10.622
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=0)          3.146          1.898        121.33%          1.687         14.592
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=0 event=1)          2.102          2.056         12.04%          1.879          2.748
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=0)          3.167          1.893        119.51%          1.849         14.518
 EnqueueNdrTime(api=ocl wgc=1000 wgs=32 profiling=1 event=1)         10.191         10.043          6.16%          9.751         11.994
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=0)          3.149          1.938        116.68%          1.768         14.164
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=0 event=1)          2.178          2.146         11.18%          1.872          2.804
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=0)          2.997          1.820        117.29%          1.713         13.540
EnqueueNdrTime(api=ocl wgc=1000 wgs=256 profiling=1 event=1)          9.982          9.864          3.85%          9.555         10.611
                      FlushTime(api=ocl wgc=1 wgs=0 event=0)         11.038         10.911         16.29%          7.950         13.149
                      FlushTime(api=ocl wgc=1 wgs=0 event=1)          9.121          9.006          9.69%          7.754         10.688
                      FlushTime(api=ocl wgc=1 wgs=1 event=0)         10.164          9.558         17.66%          7.926         14.034
                      FlushTime(api=ocl wgc=1 wgs=1 event=1)         10.265          9.600         20.65%          8.811         16.232
                     FlushTime(api=ocl wgc=1 wgs=32 event=0)          9.893          9.887         17.22%          7.632         12.365
                     FlushTime(api=ocl wgc=1 wgs=32 event=1)          9.437          9.086         10.96%          7.783         11.365
                    FlushTime(api=ocl wgc=1 wgs=256 event=0)         10.114          9.402         16.68%          7.752         13.623
                    FlushTime(api=ocl wgc=1 wgs=256 event=1)          9.358          9.310         10.54%          7.591         10.888
                    FlushTime(api=ocl wgc=100 wgs=0 event=0)          9.963          9.508         16.94%          7.947         13.256
                    FlushTime(api=ocl wgc=100 wgs=0 event=1)          9.043          8.858         12.28%          7.536         11.329
                    FlushTime(api=ocl wgc=100 wgs=1 event=0)         10.808         10.143         25.36%          8.264         17.938
                    FlushTime(api=ocl wgc=100 wgs=1 event=1)          9.493          9.251         11.83%          7.974         12.336
                   FlushTime(api=ocl wgc=100 wgs=32 event=0)          9.881          9.399         18.64%          7.526         12.993
                   FlushTime(api=ocl wgc=100 wgs=32 event=1)          9.421          9.069          9.80%          8.390         11.753
                  FlushTime(api=ocl wgc=100 wgs=256 event=0)         10.571         10.090         15.52%          8.741         13.969
                  FlushTime(api=ocl wgc=100 wgs=256 event=1)          9.478          9.146         14.35%          7.628         12.159
                   FlushTime(api=ocl wgc=1000 wgs=0 event=0)          9.726          9.216         15.27%          7.851         12.604
                   FlushTime(api=ocl wgc=1000 wgs=0 event=1)          9.162          9.180          9.27%          7.812         10.584
                   FlushTime(api=ocl wgc=1000 wgs=1 event=0)          9.975          9.267         15.42%          7.694         13.425
                   FlushTime(api=ocl wgc=1000 wgs=1 event=1)          9.903          8.939         18.94%          7.988         13.708
                  FlushTime(api=ocl wgc=1000 wgs=32 event=0)         10.353         10.540         11.81%          7.907         12.271
                  FlushTime(api=ocl wgc=1000 wgs=32 event=1)          9.290          9.156         11.48%          7.499         11.193
                 FlushTime(api=ocl wgc=1000 wgs=256 event=0)         10.589          9.979         25.78%          8.518         18.347
                 FlushTime(api=ocl wgc=1000 wgs=256 event=1)          9.884          9.259         18.93%          7.798         13.680
                NewResourcesSubmissionDevice(api=ocl size=1)        348.709        354.341         22.91%        167.990        437.733
             NewResourcesSubmissionDevice(api=ocl size=64KB)        341.042        345.976         15.39%        259.219        431.923
            NewResourcesSubmissionDevice(api=ocl size=512KB)        324.147        340.448         26.46%        209.158        489.021
              NewResourcesSubmissionDevice(api=ocl size=1MB)        317.309        333.689         25.16%        169.866        407.359
             NewResourcesSubmissionDevice(api=ocl size=16MB)        681.409        666.204         11.26%        555.217        806.813
             NewResourcesSubmissionDevice(api=ocl size=64MB)       1604.505       1557.495         10.33%       1427.354       2019.310
            NewResourcesSubmissionDevice(api=ocl size=256MB)       4811.570       4760.281          2.41%       4675.759       5029.825
              NewResourcesSubmissionDevice(api=ocl size=1GB)      17391.399      17457.482          1.05%      16952.753      17607.694
                 NewResourcesWithGpuAccess(api=ocl size=1KB)        427.070        428.756         21.16%        209.405        542.530
                NewResourcesWithGpuAccess(api=ocl size=64KB)        421.817        408.894         10.59%        377.420        512.454
               NewResourcesWithGpuAccess(api=ocl size=512KB)        348.050        346.800         31.78%        164.062        553.588
                 NewResourcesWithGpuAccess(api=ocl size=1MB)        391.027        374.665         21.80%        256.980        548.581
