./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         77.907         63.278         65.59%         44.934        218.758
                            EmptyKernel(api=ocl wgc=1 wgs=1)         54.221         47.099         18.51%         45.361         67.204
                           EmptyKernel(api=ocl wgc=1 wgs=16)         51.050         45.666         17.29%         44.438         65.337
                           EmptyKernel(api=ocl wgc=1 wgs=32)         53.021         45.690         17.77%         45.053         65.630
                          EmptyKernel(api=ocl wgc=1 wgs=256)         50.958         46.328         15.37%         44.311         63.444
                          EmptyKernel(api=ocl wgc=100 wgs=1)         53.381         46.949         17.12%         44.890         68.173
                         EmptyKernel(api=ocl wgc=100 wgs=16)         51.440         45.935         17.43%         44.918         66.900
                         EmptyKernel(api=ocl wgc=100 wgs=32)         53.346         46.582         17.74%         44.464         67.831
                        EmptyKernel(api=ocl wgc=100 wgs=256)         53.063         45.790         18.13%         44.216         68.028
                         EmptyKernel(api=ocl wgc=1000 wgs=1)         48.958         45.560         14.46%         44.750         63.330
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         53.315         46.490         17.72%         44.669         66.882
                        EmptyKernel(api=ocl wgc=1000 wgs=32)         64.726         66.637          9.94%         45.485         67.844
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         60.465         66.173         16.56%         44.678         68.419
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         59.465         64.992         17.26%         47.007         69.532
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         57.150         56.126         17.61%         46.603         69.881
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         64.007         68.614         13.36%         46.943         69.836
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         68.905         73.105         12.73%         50.809         74.102
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          2.232          2.083         17.76%          1.993          3.359
