./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         78.753         80.080         14.04%         53.525         99.997
                            EmptyKernel(api=ocl wgc=1 wgs=1)         74.073         77.821         13.99%         53.572         84.491
                           EmptyKernel(api=ocl wgc=1 wgs=16)         73.480         78.671         13.87%         53.345         81.814
                           EmptyKernel(api=ocl wgc=1 wgs=32)         73.492         79.289         13.88%         53.547         80.329
                          EmptyKernel(api=ocl wgc=1 wgs=256)         79.953         79.894          2.70%         75.986         84.741
                          EmptyKernel(api=ocl wgc=100 wgs=1)         71.277         77.020         15.35%         53.796         80.893
                         EmptyKernel(api=ocl wgc=100 wgs=16)         84.153         79.556         22.87%         54.340        131.288
                         EmptyKernel(api=ocl wgc=100 wgs=32)         71.519         76.523         16.28%         53.316         84.842
                        EmptyKernel(api=ocl wgc=100 wgs=256)         76.737         80.338         10.46%         54.184         81.259
                         EmptyKernel(api=ocl wgc=1000 wgs=1)         81.321         80.367          3.69%         79.270         90.138
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         75.379         79.681         15.45%         53.791         91.730
                        EmptyKernel(api=ocl wgc=1000 wgs=32)         79.247         79.308          2.15%         76.186         83.322
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         80.243         79.012          4.83%         77.733         91.612
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         81.401         81.297          0.56%         80.899         82.353
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         82.585         81.908          3.52%         80.315         91.029
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         77.980         81.052         10.87%         54.762         86.972
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         75.529         80.347         14.11%         58.937         85.871
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          2.042          1.958          9.41%          1.905          2.585
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          2.331          2.259         11.64%          2.063          3.081
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          3.510          1.983        126.24%          1.882         16.796
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)         12.617         10.588         48.49%         10.291         30.956
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          3.056          2.079         94.03%          1.903         11.669
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          2.306          2.173         16.08%          2.106          3.392
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          3.474          1.973        125.80%          1.832         16.579
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         11.293         10.803         15.42%         10.170         16.287
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          3.564          2.066        122.24%          1.945         16.624
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=1)          2.297          2.165         14.09%          2.117          3.229
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=0)          3.518          2.021        123.72%          1.885         16.563
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=1)         10.514         10.418          5.43%          9.908         11.529
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=0)          3.220          1.877        123.33%          1.803         15.131
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=1)          2.151          2.079         10.88%          1.986          2.829
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=0)          3.366          1.968        121.71%          1.871         15.651
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=1)         10.328         10.086          5.45%          9.770         11.723
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=0)          3.310          1.952        123.49%          1.746         15.567
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=0 event=1)          2.159          2.050         13.01%          1.979          2.911
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=0)          3.276          1.876        121.44%          1.741         15.188
    EnqueueNdrTime(api=ocl wgc=1 wgs=32 profiling=1 event=1)         10.506         10.366          4.40%          9.973         11.692
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=0)          3.083          1.788        125.12%          1.726         14.655
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=0 event=1)          2.051          2.021         10.31%          1.823          2.599
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=0)          3.170          1.930        118.92%          1.756         14.478
   EnqueueNdrTime(api=ocl wgc=1 wgs=256 profiling=1 event=1)         10.282         10.149          3.76%          9.801         11.240
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=0)          3.093          1.922        118.35%          1.736         14.072
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=0 event=1)          2.209          2.144         11.06%          1.909          2.808
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=0)          3.125          1.912        115.16%          1.841         13.917
   EnqueueNdrTime(api=ocl wgc=100 wgs=1 profiling=1 event=1)         10.325         10.186          3.51%          9.963         11.322
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=0)          3.267          2.009        115.10%          1.822         14.541
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=0 event=1)          2.144          2.060         11.37%          1.944          2.835
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=0)          3.189          1.961        117.88%          1.805         14.466
  EnqueueNdrTime(api=ocl wgc=100 wgs=32 profiling=1 event=1)         10.284         10.218          3.81%          9.727         11.129
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=0)          3.114          1.946        114.69%          1.764         13.826
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=0 event=1)          2.176          2.147         11.92%          1.976          2.920
 EnqueueNdrTime(api=ocl wgc=100 wgs=256 profiling=1 event=0)          3.054          1.821        119.73%          1.747         14.021
