 ./ulls_benchmark
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: CreateMultipleSubDevices = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
        Device: Intel(R) Gen12HP HD Graphics NEO
                driverVersion: 20.35.0
                computeUnits:  512
                clockFreq:     1600

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         76.635         79.647         17.93%         53.983        104.977
                            EmptyKernel(api=ocl wgc=1 wgs=1)         73.388         73.938         18.23%         53.620        102.151
                           EmptyKernel(api=ocl wgc=1 wgs=16)         78.479         78.575          9.07%         63.082         94.455
                           EmptyKernel(api=ocl wgc=1 wgs=32)         76.534         79.196         16.60%         53.698         97.528
                          EmptyKernel(api=ocl wgc=1 wgs=256)         72.031         75.403         18.71%         53.738         96.821
                          EmptyKernel(api=ocl wgc=100 wgs=1)         72.892         79.262         14.92%         54.022         84.798
                         EmptyKernel(api=ocl wgc=100 wgs=16)         71.596         75.647         16.42%         53.500         85.247
                         EmptyKernel(api=ocl wgc=100 wgs=32)         76.919         79.067         10.68%         53.528         85.036
                        EmptyKernel(api=ocl wgc=100 wgs=256)         82.484         78.964         25.83%         53.716        141.703
                         EmptyKernel(api=ocl wgc=1000 wgs=1)         76.996         79.496         10.67%         54.237         86.605
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         77.826         78.672          8.74%         59.203         85.700
                        EmptyKernel(api=ocl wgc=1000 wgs=32)         76.363         79.558         10.07%         54.430         80.789
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         78.414         80.381         11.14%         53.865         87.824
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         78.600         80.257          7.40%         63.783         84.480
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         80.618         80.535          0.96%         79.560         82.100
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         80.706         80.238          1.88%         79.476         84.935
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         78.593         82.635         12.19%         59.587         85.587
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          3.492          2.052        117.43%          1.939         15.781
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          3.576          2.260        111.08%          2.017         15.475
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          3.410          2.150        107.10%          1.993         14.352
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)         12.520         10.387         50.63%         10.162         31.527
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          3.395          2.143        109.97%          1.871         14.586
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          3.737          2.308        110.72%          2.152         16.132
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          3.388          2.079        110.22%          2.006         14.579
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         12.001         10.305         41.07%          9.939         26.746
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          2.296          2.186         14.97%          2.064          3.268
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=1)          2.303          2.178         16.94%          2.070          3.445
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=0)          2.300          2.218         14.16%          1.926          3.154
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=1)         11.383         10.220         29.91%          9.929         21.573
