Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: PrintDebugSettings = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                                                                  TestCase    Mean [GB/s]  Median [GB/s]         StdDev     Min [GB/s]     Max [GB/s]
                                                               CopyBuffer(api=ocl size=128MB compressed=0)         29.213         29.210          0.18%         29.114         29.297
                                                               CopyBuffer(api=ocl size=512MB compressed=0)         29.325         29.322          0.04%         29.310         29.353
                                                FillBuffer(api=ocl size=128MB patternSize=16 compressed=0)         56.346         56.810          1.53%         54.676         56.967
                                               FillBuffer(api=ocl size=128MB patternSize=128 compressed=0)         55.619         55.427          1.85%         54.462         57.016
                                                FillBuffer(api=ocl size=512MB patternSize=16 compressed=0)         62.027         62.097          0.36%         61.372         62.169
                                               FillBuffer(api=ocl size=512MB patternSize=128 compressed=0)         62.021         62.075          0.21%         61.813         62.153
                                                  MapBuffer(api=ocl size=128MB compressed=0 mapFlags=read)          5.641          5.642          0.14%          5.624          5.650
                                                 MapBuffer(api=ocl size=128MB compressed=0 mapFlags=write)          5.637          5.642          0.26%          5.593          5.647
                                       MapBuffer(api=ocl size=128MB compressed=0 mapFlags=writeInvalidate)          5.640          5.640          0.13%          5.623          5.649
                                                  MapBuffer(api=ocl size=512MB compressed=0 mapFlags=read)          5.670          5.672          0.11%          5.654          5.676
                                                 MapBuffer(api=ocl size=512MB compressed=0 mapFlags=write)          5.671          5.672          0.08%          5.661          5.677
                                       MapBuffer(api=ocl size=512MB compressed=0 mapFlags=writeInvalidate)          5.672          5.673          0.08%          5.660          5.676
                                                               ReadBuffer(api=ocl size=128MB compressed=0)          5.090          5.095          0.32%          5.051          5.108
                                                               ReadBuffer(api=ocl size=512MB compressed=0)          5.123          5.122          0.12%          5.115          5.133
                                                UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=read)     121703.031     123418.835          6.96%     103563.062     131586.008
                                               UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=write)          3.767          3.771          0.20%          3.747          3.773
                                     UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=writeInvalidate)          3.756          3.768          0.57%          3.721          3.776
                                                UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=read)     482135.661     497102.696          7.89%     412660.194     527378.106
                                               UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=write)          3.784          3.785          0.08%          3.778          3.787
                                     UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=writeInvalidate)          3.784          3.785          0.08%          3.779          3.787
                                                             UsmCopy(api=ocl transfer=SysToDev size=128MB)          3.768          3.770          0.17%          3.750          3.772
                                                             UsmCopy(api=ocl transfer=SysToDev size=512MB)          3.784          3.784          0.06%          3.780          3.787
                                                             UsmCopy(api=ocl transfer=DevToSys size=128MB)          5.627          5.635          0.31%          5.589          5.642
                                                             UsmCopy(api=ocl transfer=DevToSys size=512MB)          5.664          5.666          0.13%          5.647          5.673
                                                             UsmCopy(api=ocl transfer=DevToDev size=128MB)         29.258         29.241          0.15%         29.216         29.337
                                                             UsmCopy(api=ocl transfer=DevToDev size=512MB)         29.344         29.344          0.03%         29.330         29.362
                                                              UsmCopy(api=l0 transfer=SysToDev size=128MB)          3.765          3.769          0.19%          3.752          3.772
                                                              UsmCopy(api=l0 transfer=SysToDev size=512MB)          3.783          3.784          0.07%          3.778          3.786
                                                              UsmCopy(api=l0 transfer=DevToSys size=128MB)          5.633          5.638          0.27%          5.602          5.644
                                                              UsmCopy(api=l0 transfer=DevToSys size=512MB)          5.668          5.671          0.11%          5.655          5.674
                                                              UsmCopy(api=l0 transfer=DevToDev size=128MB)         29.314         29.333          0.12%         29.248         29.352
                                                              UsmCopy(api=l0 transfer=DevToDev size=512MB)         29.308         29.306          0.02%         29.297         29.325
                                                    UsmFill(api=ocl memory=host size=128MB patternSize=16)          5.622          5.623          0.16%          5.603          5.632
                                                   UsmFill(api=ocl memory=host size=128MB patternSize=256)          5.617          5.622          0.25%          5.584          5.632
                                                    UsmFill(api=ocl memory=host size=512MB patternSize=16)          5.666          5.665          0.09%          5.655          5.672
                                                   UsmFill(api=ocl memory=host size=512MB patternSize=256)          5.664          5.667          0.15%          5.645          5.672
                                                  UsmFill(api=ocl memory=device size=128MB patternSize=16)         57.479         57.474          0.31%         57.128         57.864
                                                 UsmFill(api=ocl memory=device size=128MB patternSize=256)         57.570         57.573          0.09%         57.481         57.658
                                                  UsmFill(api=ocl memory=device size=512MB patternSize=16)         62.345         62.364          0.09%         62.240         62.425
                                                 UsmFill(api=ocl memory=device size=512MB patternSize=256)         62.269         62.271          0.11%         62.159         62.402
                                                     UsmFill(api=l0 memory=host size=128MB patternSize=16)          5.041          5.040          0.32%          5.014          5.079
                                                    UsmFill(api=l0 memory=host size=128MB patternSize=256)          5.377          5.380          0.15%          5.358          5.387
                                                     UsmFill(api=l0 memory=host size=512MB patternSize=16)          5.202          5.201          0.16%          5.193          5.220
                                                    UsmFill(api=l0 memory=host size=512MB patternSize=256)          5.487          5.490          0.12%          5.475          5.494
                                                   UsmFill(api=l0 memory=device size=128MB patternSize=16)         12.185         12.180          0.07%         12.174         12.197
                                                  UsmFill(api=l0 memory=device size=128MB patternSize=256)         22.332         22.343          0.10%         22.292         22.356
                                                   UsmFill(api=l0 memory=device size=512MB patternSize=16)         12.425         12.425          0.01%         12.423         12.429
                                                  UsmFill(api=l0 memory=device size=512MB patternSize=256)         23.164         23.163          0.02%         23.159         23.172
                                                                 UsmMemset(api=ocl memory=host size=128MB)          5.618          5.623          0.25%          5.586          5.632
                                                                 UsmMemset(api=ocl memory=host size=512MB)          5.665          5.668          0.13%          5.645          5.671
                                                               UsmMemset(api=ocl memory=device size=128MB)         57.511         57.544          0.25%         57.297         57.743
