Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                                                                  TestCase    Mean [GB/s]  Median [GB/s]         StdDev     Min [GB/s]     Max [GB/s]
                                                               CopyBuffer(api=ocl size=128MB compressed=0)         22.662         29.496         46.50%          6.536         29.658
                                                               CopyBuffer(api=ocl size=512MB compressed=0)         14.729         15.725         13.55%         10.736         15.734
                                                FillBuffer(api=ocl size=128MB patternSize=16 compressed=0)         44.083         48.104         28.91%          5.954         50.348
                                               FillBuffer(api=ocl size=128MB patternSize=128 compressed=0)         44.947         48.787         28.10%          7.158         51.399
                                                FillBuffer(api=ocl size=512MB patternSize=16 compressed=0)         40.458         40.321         46.88%         21.470         60.252
                                               FillBuffer(api=ocl size=512MB patternSize=128 compressed=0)         36.591         21.569         50.57%         21.388         59.427
                                                  MapBuffer(api=ocl size=128MB compressed=0 mapFlags=read)          3.201          3.486         13.77%          2.524          3.498
                                                 MapBuffer(api=ocl size=128MB compressed=0 mapFlags=write)          3.101          3.485         15.45%          2.495          3.497
                                       MapBuffer(api=ocl size=128MB compressed=0 mapFlags=writeInvalidate)          3.102          3.491         15.48%          2.496          3.496
                                                  MapBuffer(api=ocl size=512MB compressed=0 mapFlags=read)          3.069          3.069          4.18%          2.940          3.200
