Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                                                                  TestCase    Mean [GB/s]  Median [GB/s]         StdDev     Min [GB/s]     Max [GB/s]
                                                              UsmCopy(api=l0 transfer=SysToDev size=128MB)          3.773          3.775          0.16%          3.757          3.778
                                                              UsmCopy(api=l0 transfer=SysToDev size=512MB)          3.782          3.783          0.14%          3.768          3.787
                                                              UsmCopy(api=l0 transfer=DevToSys size=128MB)          5.635          5.638          0.25%          5.609          5.653
                                                              UsmCopy(api=l0 transfer=DevToSys size=512MB)          5.667          5.668          0.12%          5.654          5.676
                                                              UsmCopy(api=l0 transfer=DevToDev size=128MB)         29.639         29.637          0.06%         29.610         29.671
                                                              UsmCopy(api=l0 transfer=DevToDev size=512MB)         29.458         29.463          0.06%         29.410         29.473
                                                     UsmFill(api=l0 memory=host size=128MB patternSize=16)          5.037          5.039          0.14%          5.018          5.046
                                                    UsmFill(api=l0 memory=host size=128MB patternSize=256)          5.379          5.385          0.35%          5.332          5.395
                                                     UsmFill(api=l0 memory=host size=512MB patternSize=16)          5.179          5.177          0.25%          5.164          5.203
                                                    UsmFill(api=l0 memory=host size=512MB patternSize=256)          5.486          5.491          0.22%          5.454          5.498
                                                   UsmFill(api=l0 memory=device size=128MB patternSize=16)         12.212         12.212          0.01%         12.211         12.214
                                                  UsmFill(api=l0 memory=device size=128MB patternSize=256)         22.416         22.420          0.06%         22.379         22.425
                                                   UsmFill(api=l0 memory=device size=512MB patternSize=16)         12.431         12.431          0.01%         12.430         12.432
                                                  UsmFill(api=l0 memory=device size=512MB patternSize=256)         23.196         23.196          0.00%         23.194         23.197
