Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

Running 10 iterations of each benchmark

                                                                                                  TestCase    Mean [GB/s]  Median [GB/s]         StdDev     Min [GB/s]     Max [GB/s]
                                                               CopyBuffer(api=ocl size=128MB compressed=0)         29.612         29.609          0.08%         29.554         29.648
                                                               CopyBuffer(api=ocl size=512MB compressed=0)         29.506         29.503          0.03%         29.492         29.519
                                                FillBuffer(api=ocl size=128MB patternSize=16 compressed=0)         48.395         48.024          2.08%         47.194         50.999
                                               FillBuffer(api=ocl size=128MB patternSize=128 compressed=0)         48.336         48.138          1.61%         47.508         50.286
                                                FillBuffer(api=ocl size=512MB patternSize=16 compressed=0)         59.264         59.203          0.45%         59.003         60.001
                                               FillBuffer(api=ocl size=512MB patternSize=128 compressed=0)         59.244         59.153          0.58%         58.920         60.068
                                                  MapBuffer(api=ocl size=128MB compressed=0 mapFlags=read)          5.646          5.650          0.18%          5.622          5.655
                                                 MapBuffer(api=ocl size=128MB compressed=0 mapFlags=write)          5.639          5.642          0.20%          5.615          5.650
                                       MapBuffer(api=ocl size=128MB compressed=0 mapFlags=writeInvalidate)          5.642          5.642          0.08%          5.634          5.650
                                                  MapBuffer(api=ocl size=512MB compressed=0 mapFlags=read)          5.665          5.668          0.11%          5.652          5.670
                                                 MapBuffer(api=ocl size=512MB compressed=0 mapFlags=write)          5.667          5.669          0.12%          5.650          5.674
                                       MapBuffer(api=ocl size=512MB compressed=0 mapFlags=writeInvalidate)          5.668          5.670          0.10%          5.657          5.675
                                                               ReadBuffer(api=ocl size=128MB compressed=0)          5.083          5.082          0.49%          5.031          5.116
                                                               ReadBuffer(api=ocl size=512MB compressed=0)          5.118          5.116          0.12%          5.108          5.127
                                                UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=read)     140321.186     150423.713         17.36%      97826.332     162098.705
                                               UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=write)          3.768          3.769          0.17%          3.750          3.773
                                     UnmapBuffer(api=ocl size=128MB compressed=0 mapFlags=writeInvalidate)          3.771          3.771          0.04%          3.768          3.773
                                                UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=read)     541136.734     570573.558         18.88%     313592.822     657124.739
                                               UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=write)          3.780          3.781          0.09%          3.775          3.785
                                     UnmapBuffer(api=ocl size=512MB compressed=0 mapFlags=writeInvalidate)          3.780          3.781          0.11%          3.773          3.786
                                                             UsmCopy(api=ocl transfer=SysToDev size=128MB)          3.765          3.769          0.27%          3.735          3.771
                                                             UsmCopy(api=ocl transfer=SysToDev size=512MB)          3.778          3.779          0.08%          3.773          3.782
                                                             UsmCopy(api=ocl transfer=DevToSys size=128MB)          5.631          5.633          0.18%          5.603          5.638
                                                             UsmCopy(api=ocl transfer=DevToSys size=512MB)          5.656          5.656          0.09%          5.644          5.661
                                                             UsmCopy(api=ocl transfer=DevToDev size=128MB)         29.657         29.652          0.06%         29.626         29.689
