Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: PrintDebugSettings = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         38.053         36.775         34.98%         24.024         70.988
                            EmptyKernel(api=ocl wgc=1 wgs=1)         50.048         53.379         35.82%         23.814         72.402
                           EmptyKernel(api=ocl wgc=1 wgs=16)         41.903         37.995         45.13%         23.091         72.702
                           EmptyKernel(api=ocl wgc=1 wgs=32)         32.577         25.631         38.42%         23.071         62.679
                          EmptyKernel(api=ocl wgc=1 wgs=256)         46.926         48.172         34.92%         23.633         72.630
                          EmptyKernel(api=ocl wgc=100 wgs=1)         34.085         24.788         51.78%         23.600         72.559
                         EmptyKernel(api=ocl wgc=100 wgs=16)         41.512         49.611         36.09%         23.012         55.915
                         EmptyKernel(api=ocl wgc=100 wgs=32)         47.259         50.578         39.78%         23.066         71.984
                        EmptyKernel(api=ocl wgc=100 wgs=256)         38.719         37.112         39.33%         23.171         55.017
                         EmptyKernel(api=ocl wgc=1000 wgs=1)         47.719         48.754         37.64%         24.236         72.063
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         30.215         24.265         34.30%         24.007         54.747
                        EmptyKernel(api=ocl wgc=1000 wgs=32)         43.894         31.952         58.90%         23.827        107.143
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         38.681         30.575         36.94%         28.218         71.848
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         44.284         37.962         25.76%         34.663         64.634
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         45.961         38.590         27.31%         34.783         64.639
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         52.028         38.901         44.48%         34.888        111.129
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         84.133         79.503         10.85%         77.798        107.928
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          2.503          2.357         15.58%          2.296          3.639
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          4.239          2.607        113.72%          2.530         18.700
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          2.581          2.388         21.43%          2.308          4.223
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)         12.674         12.488         11.64%         11.284         16.408
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          2.542          2.365         18.79%          2.299          3.956
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          2.786          2.567         16.68%          2.461          4.090
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          4.024          2.365        122.85%          2.293         18.851
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         18.177         12.919         63.75%         11.280         49.792
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          2.537          2.380         17.52%          2.329          3.853
