Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                                      BestSubmission(api=l0)          6.449          6.176         11.23%          5.978          8.529
                               BestWalkerSubmission(api=ocl)          7.287          6.842         19.64%          6.617         11.560
                                BestWalkerSubmission(api=l0)          7.853          7.550          8.96%          7.238          9.754
                       BestWalkerSubmissionImmediate(api=l0)          9.983          9.805          5.82%          9.515         11.591
                                   CompletionLatency(api=l0)          0.864          0.821         15.58%          0.804          1.267
                            EmptyKernel(api=ocl wgc=1 wgs=1)         10.016          5.486         70.84%          5.128         22.938
                           EmptyKernel(api=ocl wgc=1 wgs=16)          6.269          6.069          8.89%          5.975          7.914
                           EmptyKernel(api=ocl wgc=1 wgs=32)          6.210          6.027          8.36%          5.842          7.711
                          EmptyKernel(api=ocl wgc=1 wgs=256)          6.286          6.030         11.25%          5.889          8.371
                          EmptyKernel(api=ocl wgc=100 wgs=1)          7.855          6.147         60.14%          5.918         21.895
                         EmptyKernel(api=ocl wgc=100 wgs=16)          8.906          5.521         76.76%          5.356         24.035
                         EmptyKernel(api=ocl wgc=100 wgs=32)          7.774          6.075         60.41%          5.898         21.773
                        EmptyKernel(api=ocl wgc=100 wgs=256)          6.925          6.763          8.10%          6.518          8.553
                         EmptyKernel(api=ocl wgc=1000 wgs=1)          9.295          7.758         52.65%          7.492         23.971
                        EmptyKernel(api=ocl wgc=1000 wgs=16)          9.393          7.676         55.27%          7.473         24.963
                        EmptyKernel(api=ocl wgc=1000 wgs=32)          9.835          6.537         68.45%          6.271         24.510
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         15.866         14.133         32.38%         14.048         31.276
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         28.654         24.688         27.32%         24.032         47.744
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         24.293         24.120          2.64%         23.821         26.165
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         18.769         17.365         19.20%         17.207         29.384
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         90.215         90.041          0.59%         89.843         91.737
                             EmptyKernel(api=l0 wgc=1 wgs=1)          7.870          7.154         29.71%          6.748         14.860
                            EmptyKernel(api=l0 wgc=1 wgs=16)          7.079          6.844          6.59%          6.720          8.320
                            EmptyKernel(api=l0 wgc=1 wgs=32)         11.930          7.280         63.62%          6.614         26.013
                           EmptyKernel(api=l0 wgc=1 wgs=256)          8.694          7.003         52.36%          6.806         22.296
                           EmptyKernel(api=l0 wgc=100 wgs=1)         11.744          7.207         61.85%          6.862         26.389
                          EmptyKernel(api=l0 wgc=100 wgs=16)         11.558          6.933         62.71%          6.755         26.366
                          EmptyKernel(api=l0 wgc=100 wgs=32)          7.164          6.955          6.21%          6.792          8.305
                         EmptyKernel(api=l0 wgc=100 wgs=256)         12.108          7.635         60.13%          7.189         26.917
                          EmptyKernel(api=l0 wgc=1000 wgs=1)         12.604          8.172         56.20%          7.824         26.184
                         EmptyKernel(api=l0 wgc=1000 wgs=16)         12.853          8.099         58.62%          7.757         27.568
                         EmptyKernel(api=l0 wgc=1000 wgs=32)         12.641          8.204         55.64%          7.788         25.703
                        EmptyKernel(api=l0 wgc=1000 wgs=256)         15.674         12.472         33.97%         12.255         27.628
                         EmptyKernel(api=l0 wgc=10000 wgs=1)         20.871         18.912         18.31%         18.732         28.629
                        EmptyKernel(api=l0 wgc=10000 wgs=16)         20.748         18.734         18.61%         18.569         28.953
                        EmptyKernel(api=l0 wgc=10000 wgs=32)         21.435         19.100         22.68%         18.685         33.140
                       EmptyKernel(api=l0 wgc=10000 wgs=256)         62.995         62.797          0.76%         62.574         64.247
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          2.060          1.723         40.52%          1.672          4.533
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          2.136          1.940         26.30%          1.896          3.809
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          3.514          1.746        133.42%          1.712         17.470
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)         12.374         10.543         43.74%         10.481         28.609
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          3.600          1.804        127.27%          1.741         17.159
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          2.195          1.971         25.09%          1.922          3.815
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          1.951          1.733         28.84%          1.687          3.613
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         12.280         10.498         43.25%         10.389         28.212
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          2.020          1.735         39.04%          1.687          4.372
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=1)          2.177          1.982         25.48%          1.950          3.832
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=0)          2.019          1.809         29.75%          1.725          3.806
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=1)         12.368         10.567         42.90%         10.445         28.280
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=0)          1.861          1.573         42.90%          1.517          4.236
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=1)          1.913          1.724         26.59%          1.702          3.428
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=0)          1.757          1.547         31.19%          1.520          3.382
