Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                                      BestSubmission(api=l0)          6.424          6.143          8.60%          6.093          7.957
                                BestWalkerSubmission(api=l0)          7.726          7.571          5.12%          7.336          8.681
                       BestWalkerSubmissionImmediate(api=l0)         10.023          9.809          6.49%          9.588         11.847
                                   CompletionLatency(api=l0)          0.862          0.857          2.36%          0.847          0.922
                             EmptyKernel(api=l0 wgc=1 wgs=1)          8.759          8.700          4.06%          8.405          9.663
                            EmptyKernel(api=l0 wgc=1 wgs=16)          8.696          8.579          4.38%          8.315          9.608
                            EmptyKernel(api=l0 wgc=1 wgs=32)         10.195          8.480         46.30%          8.399         24.330
                           EmptyKernel(api=l0 wgc=1 wgs=256)         10.209          8.634         45.35%          8.431         24.082
                           EmptyKernel(api=l0 wgc=100 wgs=1)         10.212          8.791         39.70%          8.478         22.348
                          EmptyKernel(api=l0 wgc=100 wgs=16)         10.227          8.665         45.50%          8.372         24.166
                          EmptyKernel(api=l0 wgc=100 wgs=32)          8.849          8.634          4.31%          8.535          9.564
                         EmptyKernel(api=l0 wgc=100 wgs=256)         10.726          9.228         41.32%          8.965         24.004
                          EmptyKernel(api=l0 wgc=1000 wgs=1)         11.560         10.230         32.11%         10.061         22.663
                         EmptyKernel(api=l0 wgc=1000 wgs=16)         11.499         10.133         31.41%         10.041         22.306
                         EmptyKernel(api=l0 wgc=1000 wgs=32)         11.511         10.294         31.77%         10.060         22.464
                        EmptyKernel(api=l0 wgc=1000 wgs=256)         16.991         16.898          2.17%         16.617         17.836
                         EmptyKernel(api=l0 wgc=10000 wgs=1)         26.797         26.673          1.24%         26.367         27.453
                        EmptyKernel(api=l0 wgc=10000 wgs=16)         26.834         26.745          1.37%         26.340         27.442
                        EmptyKernel(api=l0 wgc=10000 wgs=32)         26.758         26.653          1.10%         26.370         27.490
                       EmptyKernel(api=l0 wgc=10000 wgs=256)         92.523         92.424          0.30%         92.137         93.045
                 NewResourcesSubmissionDevice(api=l0 size=1)        129.895        112.887         33.80%         85.113        209.878
              NewResourcesSubmissionDevice(api=l0 size=64KB)        184.994        177.620         18.27%        142.312        236.742
             NewResourcesSubmissionDevice(api=l0 size=512KB)        218.608        213.852         17.26%        174.250        295.494
               NewResourcesSubmissionDevice(api=l0 size=1MB)        275.985        273.750         19.14%        195.985        346.820
              NewResourcesSubmissionDevice(api=l0 size=16MB)       1707.889       1792.400         12.70%       1435.417       1960.975
              NewResourcesSubmissionDevice(api=l0 size=64MB)       6730.099       7040.338          7.59%       5445.097       7109.792
             NewResourcesSubmissionDevice(api=l0 size=256MB)      23219.752      22254.194         11.48%      19750.580      26497.413
               NewResourcesSubmissionDevice(api=l0 size=1GB)      97535.486     101274.336          7.85%      82075.771     102634.337
                   NewResourcesSubmissionHost(api=l0 size=1)         86.652         71.771         40.90%         51.510        133.523
                NewResourcesSubmissionHost(api=l0 size=64KB)         76.621         61.647         39.60%         51.697        131.693
               NewResourcesSubmissionHost(api=l0 size=512KB)         62.383         61.226          3.66%         60.209         67.734
                 NewResourcesSubmissionHost(api=l0 size=1MB)         96.507         96.487         23.85%         72.115        139.544
                NewResourcesSubmissionHost(api=l0 size=16MB)        442.803        431.534          6.71%        409.183        491.479
                NewResourcesSubmissionHost(api=l0 size=64MB)       8660.141       8667.008          0.57%       8580.143       8731.457
               NewResourcesSubmissionHost(api=l0 size=256MB)      33968.770      33891.343          1.20%      33577.566      35151.599
                 NewResourcesSubmissionHost(api=l0 size=1GB)     135010.919     135216.840          0.40%     134058.174     135867.127
                                 RoundTripSubmission(api=l0)          7.515          7.323          6.92%          7.125          8.940
                             WalkerCompletionLatency(api=l0)          0.339          0.180         66.67%          0.130          0.656
                                        WriteLatency(api=l0)          2.484          2.615         17.92%          1.603          2.945
