Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)          7.298          6.839         20.60%          6.581         11.787
                            EmptyKernel(api=ocl wgc=1 wgs=1)          7.775          5.994         60.94%          5.882         21.888
                           EmptyKernel(api=ocl wgc=1 wgs=16)          6.509          6.000         22.56%          5.866         10.891
                           EmptyKernel(api=ocl wgc=1 wgs=32)          6.550          6.035         20.92%          5.918         10.628
                          EmptyKernel(api=ocl wgc=1 wgs=256)          7.612          6.054         52.37%          5.976         19.405
                          EmptyKernel(api=ocl wgc=100 wgs=1)          6.417          6.179          9.47%          5.992          8.148
                         EmptyKernel(api=ocl wgc=100 wgs=16)          7.774          6.049         59.78%          5.971         21.621
                         EmptyKernel(api=ocl wgc=100 wgs=32)          7.819          6.061         59.54%          5.975         21.668
                        EmptyKernel(api=ocl wgc=100 wgs=256)          6.818          6.593          8.96%          6.410          8.612
                         EmptyKernel(api=ocl wgc=1000 wgs=1)          9.412          7.620         50.15%          7.515         23.441
                        EmptyKernel(api=ocl wgc=1000 wgs=16)          9.494          7.816         49.75%          7.510         23.572
                        EmptyKernel(api=ocl wgc=1000 wgs=32)          7.969          7.729          7.82%          7.619          9.784
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         14.494         14.322          4.43%         13.999         16.370
                        EmptyKernel(api=ocl wgc=10000 wgs=1)         24.204         24.075          2.19%         23.860         25.760
                       EmptyKernel(api=ocl wgc=10000 wgs=16)         24.196         24.035          2.21%         23.858         25.734
                       EmptyKernel(api=ocl wgc=10000 wgs=32)         24.159         23.896          2.39%         23.842         25.808
                      EmptyKernel(api=ocl wgc=10000 wgs=256)         91.511         90.007          4.60%         89.689        104.044
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          3.478          1.717        135.62%          1.680         17.531
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)          2.114          1.921         25.41%          1.879          3.714
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          3.522          1.743        134.16%          1.698         17.582
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)         12.330         10.513         43.58%         10.412         28.447
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          1.926          1.716         30.37%          1.653          3.661
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)          2.138          1.917         24.44%          1.896          3.672
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          3.553          1.752        129.42%          1.664         17.178
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         11.430         10.583         16.93%         10.317         16.898
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          2.303          1.786         62.57%          1.706          6.601
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=1)          2.114          1.917         26.19%          1.873          3.762
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=0)          1.956          1.751         30.89%          1.676          3.751
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=1)         12.454         10.613         43.24%         10.499         28.604
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=0)          1.773          1.554         32.68%          1.525          3.494
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=1)          1.937          1.748         28.18%          1.673          3.561
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=1 event=0)          1.796          1.607         30.68%          1.539          3.433
