Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x9a49
		clockFreq:    1300
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                                                                  TestCase    Mean [GB/s]  Median [GB/s]         StdDev     Min [GB/s]     Max [GB/s]
                                                              UsmCopy(api=l0 transfer=SysToDev size=128MB)         15.971         15.974          0.14%         15.911         15.993
                                                              UsmCopy(api=l0 transfer=SysToDev size=512MB)         16.071         16.072          0.07%         16.057         16.094
                                                              UsmCopy(api=l0 transfer=DevToSys size=128MB)         15.425         15.465          1.89%         14.978         15.791
                                                              UsmCopy(api=l0 transfer=DevToSys size=512MB)         16.069         16.072          0.11%         16.025         16.092
                                                              UsmCopy(api=l0 transfer=DevToDev size=128MB)         15.888         15.938          0.70%         15.601         15.970
                                                              UsmCopy(api=l0 transfer=DevToDev size=512MB)         16.021         16.022          0.08%         15.998         16.040
                                                     UsmFill(api=l0 memory=host size=128MB patternSize=16)          1.365          1.365          0.00%          1.365          1.366
                                                    UsmFill(api=l0 memory=host size=128MB patternSize=256)          2.825          2.825          0.01%          2.825          2.826
                                                     UsmFill(api=l0 memory=host size=512MB patternSize=16)          1.367          1.367          0.03%          1.366          1.368
                                                    UsmFill(api=l0 memory=host size=512MB patternSize=256)          2.835          2.835          0.00%          2.835          2.835
                                                   UsmFill(api=l0 memory=device size=128MB patternSize=16)          1.365          1.365          0.00%          1.365          1.365
                                                  UsmFill(api=l0 memory=device size=128MB patternSize=256)          2.825          2.825          0.00%          2.825          2.826
                                                   UsmFill(api=l0 memory=device size=512MB patternSize=16)          1.368          1.368          0.00%          1.367          1.368
                                                  UsmFill(api=l0 memory=device size=512MB patternSize=256)          2.834          2.835          0.06%          2.829          2.835
