Non-default value of debug variable: PrintDebugSettings = 1
LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x9a49
		clockFreq:    1300
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                                      BestSubmission(api=l0)         56.694         34.873         63.57%         33.131        143.079
                                BestWalkerSubmission(api=l0)         67.291         48.842         46.98%         45.149        128.920
                       BestWalkerSubmissionImmediate(api=l0)         62.992         50.713         35.88%         49.102        114.080
                                   CompletionLatency(api=l0)          2.784          2.728          6.20%          2.607          3.036
                             EmptyKernel(api=l0 wgc=1 wgs=1)         75.473         52.446         47.90%         44.825        152.221
                            EmptyKernel(api=l0 wgc=1 wgs=16)         67.541         51.764         43.46%         45.105        117.824
                            EmptyKernel(api=l0 wgc=1 wgs=32)         97.773         77.334         70.13%         45.099        281.053
                           EmptyKernel(api=l0 wgc=1 wgs=256)         54.429         45.630         36.31%         44.746        112.798
                           EmptyKernel(api=l0 wgc=100 wgs=1)         46.131         45.831          1.86%         45.291         48.521
                          EmptyKernel(api=l0 wgc=100 wgs=16)         68.948         51.743         43.34%         45.456        116.340
                          EmptyKernel(api=l0 wgc=100 wgs=32)         65.480         51.473         38.37%         45.511        108.555
                         EmptyKernel(api=l0 wgc=100 wgs=256)         54.912         49.489         28.89%         49.037        102.472
                          EmptyKernel(api=l0 wgc=1000 wgs=1)         63.474         56.629         26.71%         56.091        113.726
                         EmptyKernel(api=l0 wgc=1000 wgs=16)         57.108         56.763          2.77%         55.732         61.213
                         EmptyKernel(api=l0 wgc=1000 wgs=32)         65.783         57.968         31.20%         55.937        126.738
                        EmptyKernel(api=l0 wgc=1000 wgs=256)         90.889         90.446          2.14%         88.481         95.693
                         EmptyKernel(api=l0 wgc=10000 wgs=1)        161.560        161.575          0.27%        160.506        162.133
                        EmptyKernel(api=l0 wgc=10000 wgs=16)        161.902        161.835          0.39%        160.823        162.857
                        EmptyKernel(api=l0 wgc=10000 wgs=32)        162.645        161.906          1.10%        161.109        167.085
                       EmptyKernel(api=l0 wgc=10000 wgs=256)        528.220        502.781         14.30%        499.716        754.693
                 NewResourcesSubmissionDevice(api=l0 size=1)        183.312        187.599          9.79%        130.895        199.882
              NewResourcesSubmissionDevice(api=l0 size=64KB)        185.132        188.969         10.23%        132.058        206.822
             NewResourcesSubmissionDevice(api=l0 size=512KB)        279.693        261.204         23.35%        208.485        381.435
               NewResourcesSubmissionDevice(api=l0 size=1MB)        434.647        439.512         12.25%        340.935        503.024
              NewResourcesSubmissionDevice(api=l0 size=16MB)       3327.747       3388.611          6.57%       2688.272       3522.266
              NewResourcesSubmissionDevice(api=l0 size=64MB)      12834.719      13137.806          7.27%      10064.190      13424.079
             NewResourcesSubmissionDevice(api=l0 size=256MB)      52242.966      52166.457          0.51%      51889.267      52850.204
               NewResourcesSubmissionDevice(api=l0 size=1GB)     211094.483     210647.594          0.78%     208978.730     213831.393
                   NewResourcesSubmissionHost(api=l0 size=1)        125.693        126.157         11.88%        100.201        150.861
                NewResourcesSubmissionHost(api=l0 size=64KB)        127.433        125.465          9.25%        109.831        149.435
               NewResourcesSubmissionHost(api=l0 size=512KB)        152.273        119.322         38.75%        107.776        267.360
                 NewResourcesSubmissionHost(api=l0 size=1MB)        263.092        270.159         35.19%        137.327        406.084
                NewResourcesSubmissionHost(api=l0 size=16MB)       1165.419       1167.097          7.61%        982.802       1298.333
                NewResourcesSubmissionHost(api=l0 size=64MB)       9522.024       9536.425          0.63%       9410.310       9627.597
               NewResourcesSubmissionHost(api=l0 size=256MB)      39150.734      36903.681         13.72%      36700.130      54528.282
                 NewResourcesSubmissionHost(api=l0 size=1GB)     150146.876     147742.624          3.71%     147419.120     166404.928
                                 RoundTripSubmission(api=l0)         82.735         55.657         48.29%         47.897        148.101
                             WalkerCompletionLatency(api=l0)          1.734          1.673          7.33%          1.663          2.038
                                        WriteLatency(api=l0)          5.205          4.842         25.18%          4.503          9.122
