Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: PrintDebugSettings = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1300

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         61.034         33.076         70.88%         30.024        169.214
                            EmptyKernel(api=ocl wgc=1 wgs=1)         60.043         59.173         47.97%         29.766        107.435
                           EmptyKernel(api=ocl wgc=1 wgs=16)         60.739         60.290         47.51%         30.458        104.656
                           EmptyKernel(api=ocl wgc=1 wgs=32)         70.158         83.000         38.02%         30.072        104.320
                          EmptyKernel(api=ocl wgc=1 wgs=256)         55.367         32.281         55.30%         30.507        113.256
                          EmptyKernel(api=ocl wgc=100 wgs=1)         90.095         85.046         35.97%         30.727        171.865
                         EmptyKernel(api=ocl wgc=100 wgs=16)        386.572        391.710          2.64%        365.531        395.272
                         EmptyKernel(api=ocl wgc=100 wgs=32)         32.000         31.412          4.79%         30.529         35.815
                        EmptyKernel(api=ocl wgc=100 wgs=256)         70.408         87.081         41.22%         34.681        112.496
                         EmptyKernel(api=ocl wgc=1000 wgs=1)        411.778        413.409          1.47%        395.880        420.798
                        EmptyKernel(api=ocl wgc=1000 wgs=16)        413.111        413.070          1.24%        405.189        424.698
                        EmptyKernel(api=ocl wgc=1000 wgs=32)         82.867         94.412         32.86%         41.381        119.662
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         94.965         76.036         31.37%         75.114        156.356
                        EmptyKernel(api=ocl wgc=10000 wgs=1)        176.387        173.583         17.15%        146.759        226.216
                       EmptyKernel(api=ocl wgc=10000 wgs=16)        165.665        147.520         17.61%        146.157        227.742
                       EmptyKernel(api=ocl wgc=10000 wgs=32)        176.875        173.760         17.18%        146.425        222.736
                      EmptyKernel(api=ocl wgc=10000 wgs=256)        510.404        492.100          5.39%        485.651        551.938
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=0)          6.252          3.587         60.84%          2.963         12.458
        EnqueueNdrNullLws(api=ocl gws=1 profiling=0 event=1)        103.617         97.963         15.70%         95.622        152.066
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=0)          7.891          9.812         44.74%          3.075         13.092
        EnqueueNdrNullLws(api=ocl gws=1 profiling=1 event=1)         31.801         29.854         57.92%         13.810         62.619
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=0)          6.723          6.197         57.90%          2.862         12.633
      EnqueueNdrNullLws(api=ocl gws=100 profiling=0 event=1)         10.735         10.271          9.16%         10.080         13.376
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=0)          8.784          9.690         34.65%          2.933         12.639
      EnqueueNdrNullLws(api=ocl gws=100 profiling=1 event=1)         29.523         15.077         64.26%         13.883         61.522
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=0)          7.609          9.840         51.26%          2.943         13.245
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=0 event=1)          9.755         10.634         35.25%          3.180         13.464
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=0)          6.231          3.072         64.38%          2.952         13.114
     EnqueueNdrNullLws(api=ocl gws=1000 profiling=1 event=1)        137.018        129.011         13.62%        126.870        191.146
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=0)          9.024          8.700          9.46%          8.554         11.459
     EnqueueNdrTime(api=ocl wgc=1 wgs=1 profiling=0 event=1)          5.847          2.932         63.53%          2.812         12.404
