Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x9a49
		clockFreq:    1300
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                                      BestSubmission(api=l0)         19.038         18.065         10.97%         17.851         23.991
                                BestWalkerSubmission(api=l0)         28.238         28.034          2.41%         27.513         30.027
                       BestWalkerSubmissionImmediate(api=l0)         39.126         38.978          2.99%         36.931         41.852
                                   CompletionLatency(api=l0)          2.266          2.215         11.19%          2.032          2.777
                             EmptyKernel(api=l0 wgc=1 wgs=1)         28.461         27.864          4.55%         27.454         31.704
                            EmptyKernel(api=l0 wgc=1 wgs=16)         27.984         27.858          2.99%         27.126         30.355
                            EmptyKernel(api=l0 wgc=1 wgs=32)         28.392         28.291          2.70%         27.626         30.249
                           EmptyKernel(api=l0 wgc=1 wgs=256)         27.812         27.656          2.49%         27.145         29.581
                           EmptyKernel(api=l0 wgc=100 wgs=1)         28.538         28.433          2.00%         27.767         29.733
                          EmptyKernel(api=l0 wgc=100 wgs=16)         28.805         28.561          2.11%         28.262         30.366
                          EmptyKernel(api=l0 wgc=100 wgs=32)         30.256         29.061         12.09%         28.374         41.127
                         EmptyKernel(api=l0 wgc=100 wgs=256)         32.582         31.878          4.09%         31.512         35.712
                          EmptyKernel(api=l0 wgc=1000 wgs=1)         39.910         39.657          2.45%         38.815         41.947
                         EmptyKernel(api=l0 wgc=1000 wgs=16)         39.570         39.174          2.30%         38.459         41.187
                         EmptyKernel(api=l0 wgc=1000 wgs=32)         39.428         39.199          2.23%         38.594         41.587
                        EmptyKernel(api=l0 wgc=1000 wgs=256)         73.301         73.278          0.71%         72.552         74.364
                         EmptyKernel(api=l0 wgc=10000 wgs=1)        145.091        144.279          1.43%        143.838        151.059
                        EmptyKernel(api=l0 wgc=10000 wgs=16)        143.655        142.806          1.20%        141.371        147.275
                        EmptyKernel(api=l0 wgc=10000 wgs=32)        144.567        144.204          1.70%        142.432        151.035
                       EmptyKernel(api=l0 wgc=10000 wgs=256)        483.673        482.440          0.56%        481.448        490.237
                 NewResourcesSubmissionDevice(api=l0 size=1)        210.996        197.004         19.95%        172.406        317.465
              NewResourcesSubmissionDevice(api=l0 size=64KB)        206.865        187.093         17.18%        170.997        268.316
             NewResourcesSubmissionDevice(api=l0 size=512KB)        447.189        440.147         16.80%        357.620        612.691
               NewResourcesSubmissionDevice(api=l0 size=1MB)        673.158        675.110         11.99%        515.549        817.731
              NewResourcesSubmissionDevice(api=l0 size=16MB)       4117.552       4144.471          2.80%       3878.398       4247.526
              NewResourcesSubmissionDevice(api=l0 size=64MB)      13892.986      13863.649         10.33%      10591.815      16904.890
             NewResourcesSubmissionDevice(api=l0 size=256MB)      50374.311      51024.665          5.72%      41885.942      52810.257
               NewResourcesSubmissionDevice(api=l0 size=1GB)     237885.710     230195.346         16.94%     173596.003     313919.707
                   NewResourcesSubmissionHost(api=l0 size=1)        121.926        123.964          6.32%        107.460        136.124
                NewResourcesSubmissionHost(api=l0 size=64KB)        134.243        126.468         19.16%        108.018        193.357
               NewResourcesSubmissionHost(api=l0 size=512KB)        144.854        149.831          9.78%        116.389        163.942
                 NewResourcesSubmissionHost(api=l0 size=1MB)        188.616        176.311         15.82%        164.107        268.603
                NewResourcesSubmissionHost(api=l0 size=16MB)       1061.385       1055.358          5.45%        964.607       1152.622
                NewResourcesSubmissionHost(api=l0 size=64MB)       9806.413       9801.030          0.91%       9659.901       9969.110
               NewResourcesSubmissionHost(api=l0 size=256MB)      38837.925      38863.149          0.62%      38422.443      39215.125
                 NewResourcesSubmissionHost(api=l0 size=1GB)     154728.616     154829.424          0.35%     153400.791     155331.400
                                 RoundTripSubmission(api=l0)         27.557         27.367          3.86%         25.803         30.189
                             WalkerCompletionLatency(api=l0)          1.365          1.377         14.07%          1.149          1.683
                                        WriteLatency(api=l0)          4.432          4.562         10.30%          3.701          4.876
