Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1300

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                               BestWalkerSubmission(api=ocl)         16.387         15.228         18.27%         14.986         25.088
                            EmptyKernel(api=ocl wgc=1 wgs=1)         18.312         15.357         32.16%         14.398         34.201
                           EmptyKernel(api=ocl wgc=1 wgs=16)         16.008         15.116         15.95%         14.912         23.645
                           EmptyKernel(api=ocl wgc=1 wgs=32)         16.829         15.018         30.72%         14.499         32.233
                          EmptyKernel(api=ocl wgc=1 wgs=256)         15.366         15.160          5.75%         14.649         17.619
                          EmptyKernel(api=ocl wgc=100 wgs=1)         16.043         15.777          5.54%         15.452         18.639
                         EmptyKernel(api=ocl wgc=100 wgs=16)         15.582         15.241          4.13%         14.944         16.827
                         EmptyKernel(api=ocl wgc=100 wgs=32)         16.698         15.856         15.75%         15.224         24.520
                        EmptyKernel(api=ocl wgc=100 wgs=256)         19.606         19.374          4.01%         18.843         21.808
                         EmptyKernel(api=ocl wgc=1000 wgs=1)         26.426         26.114          3.16%         25.732         28.660
                        EmptyKernel(api=ocl wgc=1000 wgs=16)         26.307         26.199          1.87%         25.760         27.566
                        EmptyKernel(api=ocl wgc=1000 wgs=32)         26.212         25.997          2.67%         25.577         28.151
                       EmptyKernel(api=ocl wgc=1000 wgs=256)         61.280         60.463          3.99%         59.473         68.327
                        EmptyKernel(api=ocl wgc=10000 wgs=1)        131.077        131.341          0.70%        129.214        132.165
